edge,total_events,unique_ctx,spread_ratio,classification,top_pass_id,top_pass_share,n_passes_firing,top_ctx_hashes
EMFP16_LIVE→I32,20,1,0.05,NEEDS_REVIEW,1,1.0,1,"[('0xd0003', 20)]"
SPSQ32_DIFF→I32,18,1,0.05555555555555555,NEEDS_REVIEW,1,1.0,1,"[('0xe0003', 18)]"
I32→EMFP16_LIVE,8,1,0.125,NEEDS_REVIEW,1,1.0,1,"[('0x3000d', 8)]"
I32→SPSQ32_DIFF,8,1,0.125,NEEDS_REVIEW,1,1.0,1,"[('0x3000e', 8)]"
TOFP32→I32,6,1,0.16666666666666666,REAL_DEMAND,1,1.0,1,"[('0xc0003', 6)]"
F16→I32,4,1,0.25,REAL_DEMAND,1,1.0,1,"[('0xf0003', 4)]"
SPSQ32_DIFF→EMFP16_LIVE,4,1,0.25,REAL_DEMAND,1,1.0,1,"[('0xe000d', 4)]"
TOFP32→SPSQ32_DIFF,2,1,0.5,REAL_DEMAND,1,1.0,1,"[('0xc000e', 2)]"
TOFP32→EMFP16_LIVE,2,1,0.5,REAL_DEMAND,1,1.0,1,"[('0xc000d', 2)]"
I32→F16,2,1,0.5,REAL_DEMAND,1,1.0,1,"[('0x3000f', 2)]"
I32→TOFP32,2,1,0.5,REAL_DEMAND,1,1.0,1,"[('0x3000c', 2)]"
EMFP16_LIVE→F16,2,1,0.5,REAL_DEMAND,1,1.0,1,"[('0xd000f', 2)]"
EMFP16_LIVE→SPSQ32_DIFF,2,1,0.5,REAL_DEMAND,1,1.0,1,"[('0xd000e', 2)]"
EMFP16_LIVE→TOFP32,2,1,0.5,REAL_DEMAND,1,1.0,1,"[('0xd000c', 2)]"
F16→SPSQ32_DIFF,2,1,0.5,REAL_DEMAND,1,1.0,1,"[('0xf000e', 2)]"
